公路編號,樁號,編碼樁號,交流道名稱,南（東）向出口預告地名,北（西）向出口預告地名,縣市,鄉鎮市區,備註,TWD97-X,TWD97-Y,WGS84-X,WGS84-Y,工程處,工務段
台62,5,P0620005,七堵二交流道,,七堵,基隆市,七堵區,,320599.4,2776924,121.6999702,25.0989821,第一區養護工程處,基隆工務段
台62,6,P0620006,大華系統交流道,"國道1號,五堵","國道1號,五堵",基隆市,七堵區,,319966.1,2777343.4,121.6937126,25.1027978,第一區養護工程處,基隆工務段
台62,9,P0620009,暖暖交流道,"台2丙線,台2丁線,暖暖","台2丙線,台2丁線,暖暖",基隆市,七堵區,,322263.2,2777374,121.7164886,25.1029655,第一區養護工程處,基隆工務段
台62,13,P0620013,四腳亭交流道,"台62甲線,基隆;台62甲線,四腳亭",,基隆市,暖暖區,,325750,2777171.4,121.751047,25.1009655,第一區養護工程處,基隆工務段
台62,16,P0620016,瑞芳交流道,八斗子;海科館,,基隆市,信義區,(現地牌面為16B八斗子),330155.3,2778636.4,121.7948066,25.1139628,第一區養護工程處,基隆工務段
台62,18,P0620018,瑞濱端,"台2線,瑞濱",,新北市,瑞芳區,,331085.7,2779038.2,121.8040554,25.117541,第一區養護工程處,基隆工務段
台62甲,0,P0621000,中正端,,,基隆市,中正區,"(虛擬牌面,現地無牌面)",325907.6,2781453,121.7528461,25.1396097,第一區養護工程處,基隆工務段
台62甲,3,P0621003,孝東交流道,瑞芳;基隆,基隆;瑞芳,基隆市,信義區,,327600,2781098.7,121.7696102,25.1363252,第一區養護工程處,基隆工務段
台62甲,5,P0621005,四腳亭交流道,"四腳亭;暖暖,台62線,國道1號,國道3號",,新北市,瑞芳區,,328194.2,2778650.5,121.7753631,25.1141937,第一區養護工程處,基隆工務段
台64,0,P0640000,臺北港端,,,新北市,八里區,"(八里一交流道;虛擬牌面,現地無牌面)",289592.3,2782473.8,121.392713,25.150218,第一區養護工程處,中和工務段
台64,0,P0640000,八里二交流道,,"台61線,八里",新北市,八里區,,289877.6,2782010.6,121.3955292,25.1460285,第一區養護工程處,中和工務段
台64,1,P0640001,八里交流道,,"台15線,八里",新北市,八里區,,290180.1,2781017.7,121.3985001,25.1370569,第一區養護工程處,中和工務段
台64,6,P0640006,觀音山交流道,觀音山,觀音山,新北市,五股區,,292718.4,2778134.9,121.4235851,25.1109608,第一區養護工程處,中和工務段
台64,10,P0640010,五股一交流道,成子寮,成子寮,新北市,五股區,,294963,2777700.3,121.4458272,25.1069718,第一區養護工程處,中和工務段
台64,11,P0640011,五股二交流道,"蘆洲,更寮;五股,國道1號","五股,國道1號;蘆洲,更寮",新北市,五股區,,295163.2,2775350.1,121.4477342,25.0857487,第一區養護工程處,中和工務段
台64,14,P0640014,三重交流道,三重,"新莊;台1線,三重",新北市,三重區,,296975.5,2773121.2,121.4656247,25.0655707,第一區養護工程處,中和工務段
台64,17,P0640017,江子翠交流道,新北環快;江子翠,江子翠,新北市,三重區,,298415.3,2770550,121.479805,25.0423121,第一區養護工程處,中和工務段
台64,20,P0640020,板橋交流道,板橋,"板橋,台北;萬板路",新北市,板橋區,,296846,2769180.6,121.4642074,25.0299994,第一區養護工程處,中和工務段
台64,23,P0640023,中和一交流道,"中和,中山路",,新北市,板橋區,,297887.8,2767442.3,121.4744695,25.0142727,第一區養護工程處,中和工務段
台64,24,P0640024,中和交流道,"國道3號,中和交流道",,新北市,中和區,,298366.4,2767067.8,121.4791986,25.0108766,第一區養護工程處,中和工務段
台64,26,P0640026,中和二交流道,"中和,圓通路",,新北市,中和區,,298965,2765780.3,121.4850835,24.9992334,第一區養護工程處,中和工務段
台65,0,P0650000,五股端,,"國道1號,五股,桃園",新北市,新莊區,,294631.5,2771467.7,121.4423375,25.0507141,第一區養護工程處,中和工務段
台65,0,P0650000,土城二交流道,,"土城,土城工業區",新北市,土城區,,293709.5,2762284.6,121.4329091,24.9678345,第一區養護工程處,中和工務段
台65,1,P0650001,泰山交流道,,"泰山,國道1號,台北",新北市,新莊區,,294631.5,2771467.7,121.4423375,25.0507141,第一區養護工程處,中和工務段
台65,2,P0650002,新莊一交流道,,"新莊,台1線,新北大道",新北市,新莊區,,294624.4,2771200.3,121.4422588,25.0483002,第一區養護工程處,中和工務段
台65,4,P0650004,新莊二交流道,新莊,"新莊,台1甲線,中正路",新北市,新莊區,"台1甲線,中正路",294613.4,2770256.4,121.442119,25.0397785,第一區養護工程處,中和工務段
