國道編號,隸屬縣市,坐標X-TWD97,坐標Y-TWD97,坐標X-WGS84,坐標Y-WGS84,公告樁號,性質,牌面內容,方向與備註
國道1號,高雄市,177418.703,2527719.365,120.2927723,22.84884472,0,匝道里程,000K+000,高科交流道
國道1號,高雄市,177305.93,2527236.507,120.2916961,22.84447953,0,匝道里程,000K+000,高科交流道
國道1號,高雄市,177684.627,2527437.76,120.2953764,22.84631326,0,匝道里程,000K+000,高科交流道
國道1號,高雄市,177733.432,2527388.635,120.2958542,22.84587175,0,匝道里程,000K+000,高科交流道
國道1號,高雄市,178041.927,2526846.793,120.298885,22.84099205,0,匝道里程,000K+000,高科交流道
國道1號,高雄市,180121.172,2521335.805,120.3193901,22.79131405,0,匝道里程,000K+000,岡山交流道
國道1號,高雄市,180365.468,2521003.974,120.3217842,22.78832764,0,匝道里程,000K+000,岡山交流道
國道1號,高雄市,180354.882,2520715.177,120.321694,22.78571927,0,匝道里程,000K+000,岡山交流道
國道1號,高雄市,181631.433,2515778.611,120.3343424,22.74119251,0,匝道里程,000K+000,楠梓交流道
國道1號,高雄市,181612.884,2515591.357,120.33417,22.73950077,0,匝道里程,000K+000,楠梓交流道
國道1號,高雄市,181591.673,2514143.808,120.3340268,22.72642793,0,匝道里程,000K+000,楠梓交流道
國道1號,高雄市,181343.947,2513041.393,120.3316636,22.71646258,0,匝道里程,000K+000,楠梓交流道
國道1號,高雄市,181283.833,2512828.276,120.3310878,22.71453559,0,匝道里程,000K+000,楠梓交流道
國道1號,高雄市,181541.798,2508667.977,120.3337805,22.67697662,0,匝道里程,000K+000,鼎金系統交流道
國道1號,高雄市,181113.085,2508608.253,120.3296112,22.67641988,0,匝道里程,000K+000,鼎金系統交流道
國道1號,高雄市,181140.43,2508364.442,120.329888,22.67421926,0,匝道里程,000K+000,鼎金系統交流道
國道1號,高雄市,181035.913,2507976.031,120.328888,22.67070746,0,匝道里程,000K+000,鼎金系統交流道
國道1號,高雄市,181832.856,2504756.681,120.3367826,22.64166737,0,匝道里程,000K+000,高雄交流道A
國道1號,高雄市,181922.538,2504357.123,120.3376724,22.63806275,0,匝道里程,000K+000,高雄交流道A
國道1號,高雄市,181804.943,2503309.182,120.3365738,22.62859454,100,匝道里程,000K+100,高雄交流道B
國道1號,高雄市,181734.458,2503309.831,120.3358881,22.62859757,100,匝道里程,000K+100,高雄交流道B
國道1號,高雄市,181734.18,2502934.097,120.3359017,22.62520447,100,匝道里程,000K+100,高雄交流道B
國道1號,高雄市,181795.384,2502905.748,120.3364983,22.62495093,100,匝道里程,000K+100,高雄交流道B
國道1號,高雄市,181814.192,2502590.759,120.3366949,22.62210716,200,匝道里程,000K+200,高雄交流道C
國道1號,高雄市,182196.701,2500898.24,120.3404886,22.60683808,100,匝道里程,000K+100,瑞隆路出口匝道
國道1號,高雄市,182355.977,2500301.257,120.3420634,22.60145333,0,匝道里程,000K+000,五甲系統交流道
國道1號,高雄市,182356.135,2500104.126,120.3420734,22.59967313,0,匝道里程,000K+000,五甲系統交流道
國道1號,高雄市,182167.92,2499884.421,120.3402523,22.59768155,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,181950.464,2499580.9,120.3381505,22.59493188,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,181990.247,2499523.14,120.3385399,22.59441186,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,181308.917,2498877.132,120.3319418,22.58855061,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,181456.895,2498345.236,120.333404,22.58375325,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,181254.872,2498567.689,120.3314297,22.58575397,100,匝道里程,000K+100,五甲交流道
國道1號,高雄市,180376.799,2498155.084,120.3229088,22.58199214,,服務設施指示性質告示牌,,漁港路
國道1號,高雄市,180387.04,2498141.105,120.323009,22.58186632,,服務設施指示性質告示牌,,漁港路
國道1號,基隆市,323560.444,2778911.751,121.7294325,25.11678503,0,匝道里程,0,基隆交流道
國道1號,基隆市,323360.768,2778744.771,121.7274437,25.11528735,0,匝道里程,0,基隆交流道
國道1號,基隆市,323284.313,2778768.827,121.7266869,25.11550823,0,匝道里程,0,基隆交流道
國道1號,基隆市,323568.857,2778618.474,121.7295002,25.11413706,0,匝道里程,0,基隆交流道
國道1號,基隆市,323339.932,2778400.236,121.7272187,25.11217807,0,匝道里程,0,基隆交流道
國道1號,基隆市,323234.118,2777608.106,121.7261273,25.10503224,0,匝道里程,0,八堵交流道
國道1號,基隆市,322748.394,2777432.932,121.7213023,25.10347435,0,匝道里程,0,八堵交流道
國道1號,基隆市,321283.992,2776987.698,121.7067605,25.09952487,0,匝道里程,0,大華系統交流道
國道1號,基隆市,320537.367,2776932.059,121.6993555,25.09905767,0,匝道里程,0,大華系統交流道
國道1號,基隆市,320442.069,2776621.668,121.6983948,25.09626004,0,匝道里程,0,大華系統交流道
國道1號,基隆市,320186.044,2775942.173,121.6958219,25.09013776,0,匝道里程,0,大華系統交流道
國道1號,基隆市,319325.062,2775592.306,121.687269,25.08701907,0,匝道里程,0,五堵交流道
國道1號,基隆市,319258.657,2775458.966,121.686604,25.08581838,0,匝道里程,0,五堵交流道
國道1號,基隆市,319248.537,2775421.502,121.6865018,25.08548063,0,匝道里程,0,五堵交流道
國道1號,雲林縣,197044.15,2632315.154,120.4803348,23.79407894,0,匝道里程,0,西螺交流道
國道1號,雲林縣,196672.077,2630973.574,120.4767322,23.78195287,0,匝道里程,0,西螺交流道
國道1號,雲林縣,196406.998,2630724.692,120.4741403,23.77969677,0,匝道里程,0,西螺交流道
國道1號,雲林縣,196316.954,2630342.582,120.4732707,23.77624351,0,匝道里程,0,西螺交流道
國道1號,雲林縣,196236.055,2630149.43,120.472484,23.77449674,0,匝道里程,0,西螺交流道
國道1號,雲林縣,195862.042,2626260.007,120.4689569,23.73936472,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,195851.72,2625914.573,120.4688683,23.73624528,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,195880.78,2625825.342,120.4691566,23.73544055,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,196129.55,2625900.734,120.4715939,23.73612966,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,195928.873,2625757.337,120.4696308,23.73482812,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,196160.725,2625479.962,120.471915,23.73233134,100,匝道里程,100,虎尾交流道
國道1號,雲林縣,196199.727,2621450.139,120.4724439,23.69594524,100,匝道里程,100,斗南交流道
國道1號,雲林縣,196247.591,2621166.969,120.4729235,23.69338994,100,匝道里程,100,斗南交流道
國道1號,雲林縣,196306.509,2621084.288,120.4735042,23.69264534,100,匝道里程,100,斗南交流道
國道1號,雲林縣,196029.645,2621185.337,120.4707858,23.69354851,100,匝道里程,100,斗南交流道
國道1號,雲林縣,196179.267,2621094.347,120.4722562,23.69273192,100,匝道里程,100,斗南交流道
國道1號,雲林縣,195894.367,2621206.279,120.4694586,23.69373307,100,匝道里程,100,斗南交流道
國道1號,雲林縣,195984.938,2621109.461,120.4703502,23.69286188,100,匝道里程,100,斗南交流道
國道1號,雲林縣,196001.637,2620833.148,120.470524,23.69036746,100,匝道里程,100,斗南交流道
國道1號,雲林縣,194634.056,2618648.031,120.4571963,23.67059042,100,匝道里程,100,雲林系統交流道
國道1號,雲林縣,194480.125,2618528.316,120.4556917,23.66950415,100,匝道里程,100,雲林系統交流道
國道1號,雲林縣,194651.039,2618422.306,120.4573712,23.6685528,100,匝道里程,100,雲林系統交流道
國道1號,雲林縣,194477.812,2618322.912,120.4556767,23.66764936,100,匝道里程,100,雲林系統交流道
國道1號,雲林縣,194619.156,2618203.59,120.4570668,23.6665768,100,匝道里程,100,雲林系統交流道
國道1號,雲林縣,194454.16,2618053.86,120.4554549,23.66521913,100,匝道里程,100,雲林系統交流道
國道1號,新北市,316053.801,2774125.006,121.6547699,25.0739194,200,匝道里程,200,汐止交流道
國道1號,新北市,316008.336,2774186.593,121.6543222,25.07447737,200,匝道里程,200,汐止交流道
國道1號,新北市,315229.747,2774413.307,121.6466154,25.0765579,0,匝道里程,0,汐止系統交流道
國道1號,新北市,314645.848,2773811.831,121.6407993,25.07115304,0,匝道里程,0,汐止系統交流道
國道1號,新北市,300566.402,2774462.845,121.5012661,25.07756717,0,匝道里程,0,三重交流道
國道1號,新北市,299511.814,2774144.75,121.4908008,25.07473036,0,匝道里程,0,三重交流道
國道1號,新北市,295543.648,2773910.274,121.4514584,25.07273835,0,匝道里程,0,五股交流道
國道1號,新北市,294582.14,2773610.012,121.4419178,25.07005626,0,匝道里程,0,五股交流道
國道1號,新北市,294265.026,2773628.524,121.4387751,25.07023271,0,匝道里程,0,五股交流道
國道1號,新北市,294062.282,2773832.89,121.436772,25.07208366,0,匝道里程,0,五股交流道
國道1號,新北市,294049.232,2773640.859,121.4366365,25.07035038,0,匝道里程,0,五股交流道
國道1號,新北市,294031.736,2773598.168,121.4364617,25.06996547,0,匝道里程,0,五股交流道
國道1號,新北市,293988.908,2773404.722,121.436031,25.06822028,0,匝道里程,0,五股交流道
國道1號,新北市,293049.736,2773383.737,121.4267212,25.06805788,0,匝道里程,0,往國道高速公路局出/入口
國道1號,新竹市,187920.446,2599250.133,120.3921864,23.49519147,0,匝道里程,0,嘉義交流道
國道1號,新竹市,187765.885,2599160.417,120.3906769,23.49437546,0,匝道里程,0,嘉義交流道
國道1號,新竹縣,253294.961,2752119.446,121.0326103,24.87668469,100,匝道里程,100,湖口交流道
國道1號,新竹縣,251952.189,2746659.402,121.0193132,24.82739066,0,匝道里程,0,竹北交流道
國道1號,新竹縣,251533.23,2745845.535,121.0151675,24.82004306,0,匝道里程,0,竹北交流道
國道1號,新竹縣,249397.356,2738745.409,120.9940414,24.75593923,0,匝道里程,0,新竹系統交流道
國道1號,新竹縣,248992.107,2739188.906,120.9900342,24.75994321,0,匝道里程,0,新竹系統交流道
國道1號,新竹縣,249150.454,2738855.397,120.9916001,24.75693216,0,匝道里程,0,新竹系統交流道
國道1號,新竹縣,248950.402,2739099.986,120.9896219,24.75914035,0,匝道里程,0,新竹系統交流道
國道1號,新竹縣,248592.918,2738714.866,120.9860876,24.75566294,0,匝道里程,0,新竹系統交流道
國道1號,新竹縣,247970.476,2738961.205,120.9799329,24.75788636,0,匝道里程,0,新竹系統交流道
國道1號,嘉義市,250573.546,2742643.244,121.0056725,24.79113146,0,匝道里程,0,新竹交流道_嘉義
國道1號,嘉義縣,192605.996,2612600.19,120.4375475,23.61591015,0,匝道里程,0,大林交流道
國道1號,嘉義縣,192511.819,2612294.91,120.4366364,23.61315025,0,匝道里程,0,大林交流道
國道1號,嘉義縣,192424.162,2612217.954,120.4357804,23.61245225,0,匝道里程,0,大林交流道
國道1號,嘉義縣,192613.471,2612061.638,120.4376415,23.61104751,0,匝道里程,0,大林交流道
國道1號,嘉義縣,192517.628,2611753.975,120.4367142,23.60826603,0,匝道里程,0,大林交流道
國道1號,嘉義縣,190498.021,2606169.607,120.417147,23.55776838,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190301.675,2605820.916,120.4152377,23.55461261,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190433.889,2605738.465,120.416536,23.55387297,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190181.42,2605793.669,120.4140609,23.55436215,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190455.643,2605680.154,120.4167514,23.55334725,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190256.612,2605646.074,120.4148033,23.55303219,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190407.651,2605568.238,120.4162858,23.55233492,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,190209.975,2605231.044,120.4143631,23.54928291,100,匝道里程,100,民雄交流道
國道1號,嘉義縣,184330.991,2591826.593,120.3573687,23.42801857,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,184721.368,2591356.607,120.3612091,23.42379041,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,184211.531,2591479.505,120.3562149,23.42487966,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,184292.297,2591408.784,120.3570083,23.42424433,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,184212.965,2591420.926,120.3562315,23.42435077,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,183769.462,2591528.844,120.351887,23.42530728,0,匝道里程,0,嘉義系統交流道
國道1號,嘉義縣,184182.122,2590977.177,120.3559491,23.42034261,0,匝道里程,0,嘉義系統交流道
國道1號,彰化縣,205332.322,2666829.502,120.5606117,24.10597421,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,205101.093,2666441.734,120.5583492,24.10246642,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,204666.836,2666614.893,120.5540723,24.1040175,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,204651.604,2666613.711,120.5539225,24.10400639,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,204651.276,2666555.597,120.5539211,24.10348166,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,204216.953,2665941.834,120.5496683,24.09792736,0,匝道里程,0,彰化系統交流道
國道1號,彰化縣,201447.453,2663043.081,120.5225246,24.07167137,0,匝道里程,0,彰化交流道
國道1號,彰化縣,201538.593,2661875.615,120.5234598,24.06113289,0,匝道里程,0,彰化交流道
國道1號,彰化縣,201551.789,2661658.306,120.5235968,24.05917117,0,匝道里程,0,彰化交流道
國道1號,彰化縣,199972.171,2653850.309,120.5083327,23.98862194,100,匝道里程,100,埔鹽系統交流道
